client_name,brand_name,week,campaign_type,primary_search_strategy,spend,impressions,clicks,attributed_sales,sales
Nature's Path,Nature's Path,11/28/2021,sponsoredProducts,Category,398.48,120685,259,1793.48,404142.22
Nature's Path,Nature's Path,11/28/2021,sponsoredProducts,Product Targeting,0,9,0,0,404142.22
Nature's Path,Nature's Path,11/28/2021,sponsoredProducts,Uncategorized,0,0,0,0,404142.22
Nature's Path,Nature's Path,4/7/2019,sponsoredBrands,Category,50.14,2285,45,114.06,88881.54
Nature's Path,Nature's Path,4/7/2019,sponsoredProducts,Auto,397.32,307738,547,2125.3,88881.54
Nature's Path,Nature's Path,4/7/2019,sponsoredProducts,Branded,600.87,88066,530,4700.6,88881.54
Nature's Path,Nature's Path,4/7/2019,sponsoredProducts,Category,2817.14,598690,1746,7752.21,88881.54
Nature's Path,Nature's Path,4/7/2019,sponsoredProducts,Competitive,132.21,71316,73,56.77,88881.54
KIND,KIND,11/3/2019,sponsoredBrands,Branded,2431.06,92748,642,7213.39,863530.29
KIND,KIND,11/3/2019,sponsoredBrands,Category,1916.93,234362,567,2118.28,863530.29
KIND,KIND,11/3/2019,sponsoredBrands,Competitive,15.84,30776,26,25.32,863530.29
KIND,KIND,11/3/2019,sponsoredBrands,Uncategorized,0,0,0,0,863530.29
KIND,KIND,11/3/2019,sponsoredProducts,Auto,2320.2,891942,1582,7115.92,863530.29
KIND,KIND,11/3/2019,sponsoredProducts,Branded,11267.21,1072783,5067,68571.18,863530.29
KIND,KIND,11/3/2019,sponsoredProducts,Category,13284.4,1969977,3663,17096.48,863530.29
KIND,KIND,11/3/2019,sponsoredProducts,Competitive,798.69,321514,324,1324.47,863530.29
Nature's Path,Nature's Path,10/31/2021,sponsoredBrands,Branded,248.14,7750,141,754.34,353826.79
Nature's Path,Nature's Path,10/31/2021,sponsoredBrands,Category,101.16,15668,52,215.35,353826.79
Nature's Path,Nature's Path,10/31/2021,sponsoredBrandsVideo,Branded,0,0,0,0,353826.79
Nature's Path,Nature's Path,10/31/2021,sponsoredProducts,Auto,276.19,138508,234,738.05,353826.79
Nature's Path,Nature's Path,10/31/2021,sponsoredProducts,Branded,497.16,173491,409,3320.38,353826.79
Nature's Path,Nature's Path,10/31/2021,sponsoredProducts,Category,534.86,138349,393,1504.39,353826.79
Nature's Path,Nature's Path,10/31/2021,sponsoredProducts,Product Targeting,1.97,206,1,0,353826.79
Nature's Path,Nature's Path,10/31/2021,sponsoredProducts,Uncategorized,0,0,0,0,353826.79
Nature's Path,Nature's Path,8/30/2020,sponsoredBrands,Branded,332.24,16528,224,1754.81,190582.24
Nature's Path,Nature's Path,8/30/2020,sponsoredBrands,Category,523.66,46280,209,885.34,190582.24
Nature's Path,Nature's Path,8/30/2020,sponsoredProducts,Branded,0,0,0,0,190582.24
Nature's Path,Nature's Path,8/30/2020,sponsoredProducts,Category,635.52,104127,331,2786.64,190582.24
Nature's Path,Nature's Path,3/6/2022,sponsoredBrands,Branded,104.31,4064,63,593.9,357531.3
Nature's Path,Nature's Path,3/6/2022,sponsoredBrands,Category,120.61,12027,86,114.25,357531.3
Nature's Path,Nature's Path,3/6/2022,sponsoredBrandsVideo,Branded,0,0,0,0,357531.3
Nature's Path,Nature's Path,3/6/2022,sponsoredProducts,Auto,215.55,70313,137,526.15,357531.3
Nature's Path,Nature's Path,3/6/2022,sponsoredProducts,Branded,583.28,209144,552,7075.78,357531.3
Nature's Path,Nature's Path,3/6/2022,sponsoredProducts,Category,251.08,151731,291,1759.55,357531.3
Nature's Path,Nature's Path,3/6/2022,sponsoredProducts,Product Targeting,0,40,0,0,357531.3
Nature's Path,Nature's Path,3/6/2022,sponsoredProducts,Uncategorized,0,0,0,0,357531.3
Nature's Path,Nature's Path,2/3/2019,sponsoredProducts,Auto,323.75,281835,492,2460.2,80980.98
Nature's Path,Nature's Path,2/3/2019,sponsoredProducts,Branded,610.52,89545,628,4796.11,80980.98
Nature's Path,Nature's Path,2/3/2019,sponsoredProducts,Category,3891.65,605053,2035,7617.97,80980.98
Nature's Path,Nature's Path,2/3/2019,sponsoredProducts,Competitive,266.93,80131,150,391.76,80980.98
KIND,KIND,12/1/2019,sponsoredBrands,Branded,3570.29,113210,923,11584.28,913621.85
KIND,KIND,12/1/2019,sponsoredBrands,Category,9039.13,554703,1543,6811.78,913621.85
KIND,KIND,12/1/2019,sponsoredBrands,Competitive,17.72,22818,21,166.77,913621.85
KIND,KIND,12/1/2019,sponsoredBrands,Uncategorized,0,0,0,0,913621.85
KIND,KIND,12/1/2019,sponsoredProducts,Auto,4417.47,1908656,2170,7899.87,913621.85
KIND,KIND,12/1/2019,sponsoredProducts,Branded,21825.49,2053143,8758,102933.47,913621.85
KIND,KIND,12/1/2019,sponsoredProducts,Category,20766.02,4493161,5906,21030.86,913621.85
KIND,KIND,12/1/2019,sponsoredProducts,Competitive,1185.85,648572,443,969.85,913621.85
KIND,KIND,5/12/2019,sponsoredBrands,Branded,1592.5,51517,545,6325.77,636870.42
KIND,KIND,5/12/2019,sponsoredBrands,Category,3028.19,385335,1040,3148.39,636870.42
KIND,KIND,5/12/2019,sponsoredBrands,Competitive,335.48,79442,121,193.47,636870.42
KIND,KIND,5/12/2019,sponsoredBrands,Uncategorized,NULL,NULL,NULL,NULL,636870.42
KIND,KIND,5/12/2019,sponsoredProducts,Auto,1203.16,326268,784,6291.4,636870.42
KIND,KIND,5/12/2019,sponsoredProducts,Branded,7675.1,639293,3235,36435.94,636870.42
KIND,KIND,5/12/2019,sponsoredProducts,Category,18685.87,4064428,6319,43241.81,636870.42
KIND,KIND,5/12/2019,sponsoredProducts,Competitive,623.48,196139,184,693.83,636870.42
Nature's Path,Nature's Path,8/29/2021,sponsoredBrands,Branded,205.37,10912,140,1136.09,367837.68
Nature's Path,Nature's Path,8/29/2021,sponsoredBrands,Category,310.39,49309,146,689.99,367837.68
Nature's Path,Nature's Path,8/29/2021,sponsoredBrandsVideo,Branded,13.93,322,4,36.6,367837.68
Nature's Path,Nature's Path,8/29/2021,sponsoredProducts,Auto,231.12,117406,266,991.76,367837.68
Nature's Path,Nature's Path,8/29/2021,sponsoredProducts,Branded,624,206884,586,4817.19,367837.68
Nature's Path,Nature's Path,8/29/2021,sponsoredProducts,Category,701.2,188112,617,3263.95,367837.68
Nature's Path,Nature's Path,8/29/2021,sponsoredProducts,Product Targeting,1.67,529,1,0,367837.68
Nature's Path,Nature's Path,8/29/2021,sponsoredProducts,Uncategorized,0,0,0,0,367837.68
KIND,KIND,2/16/2020,sponsoredBrands,Branded,2521.71,94910,1859,22901.43,838895.33
KIND,KIND,2/16/2020,sponsoredBrands,Category,423.79,155586,268,539.33,838895.33
KIND,KIND,2/16/2020,sponsoredBrands,Competitive,15.31,9540,19,0,838895.33
KIND,KIND,2/16/2020,sponsoredBrands,Uncategorized,0,0,0,0,838895.33
KIND,KIND,2/16/2020,sponsoredProducts,Auto,240.66,493052,962,3945.41,838895.33
KIND,KIND,2/16/2020,sponsoredProducts,Branded,16596.13,1224679,6845,79364.33,838895.33
